asset_id;name;latitude;longitude;country;production;firm
M0565;Lajkura Coal Mine;21,814345;83,901262;India;4,36;Coal India Ltd [100.0%]
M0566;Lakhanpur Coal Mine;21,7451;83,8401;India;21,09;Coal India Ltd [100.0%]
M0567;Lingaraj Coal Mine;20,960432;85,200747;India;17,43;Coal India Ltd [100.0%]
M0569;Magadh Coal Mine;23,889479;85,00171;India;20,02;Coal India Ltd [100.0%]
M0571;Dinesh (Makardhokra-III) Coal Mine;20,8764;79,2235;India;4,42;Coal India Ltd [100.0%]
M0573;Mangrol Valia Coal Mine;21,4167;73,1;India;2,53;Gujarat Industries Power Co Ltd [100%]
M0574;Manikpur Coal Mine;22,32047888;82,71690602;India;5,35;Coal India Ltd [100.0%]
M0579;Mohanpur Coal Mine;23,786678;86,950299;India;2;Coal India Ltd [100.0%]
M0580;Moher Amlohri Coal Mine;24,135;82,599444;India;18,28;Sasan Power Ltd [100%]
M0581;Mungoli Nirguda Coal Mine;19,894046;79,115559;India;5,23;Coal India Ltd [100.0%]
M0583;N.T.S.T. Jeenagora Coal Mine;23,7028;86,4403;India;4,79;Coal India Ltd [100.0%]
M0585;New Majri Coal Mine;20,13479;79,021365;India;1,52;Coal India Ltd [100.0%]
M0587;Neyveli I A Coal Mine;11,57352;79,51781;India;5,59;NLC India Ltd [100%]
M0588;Neyveli I Coal Mine;11,571182;79,503738;India;7;NLC India Ltd [100%]
M0589;Neyveli II Coal Mine;11,520268;79,475537;India;8,97;NLC India Ltd [100%]
M0591;Nigahi Coal Mine;24,135;82,599444;India;22,5;Coal India Ltd [100.0%]
M0593;Niljai Coal Mine;19,9957;79,0825;India;4,47;Coal India Ltd [100.0%]
M0594;North Tisra, South Tisra Coal Mine;23,729089;86,4431996;India;6,05;Coal India Ltd [100.0%]
M0595;North Urimari Birsa Coal Mine;23,701948;85,293923;India;4,2;Coal India Ltd [100.0%]
M0598;Pachhwara (North) Coal Mine;24,474744;87,476437;India;13,7;The West Bengal Power Development Corp Ltd [100%]
M0601;Pakri Barwadih Coal Mine;23,881918;85,233799;India;16,3;NTPC Ltd [100%]
M0604;Parsa East And Kanta Basan Coal Mine;22,83795;82,81401;India;6,7;Rajasthan Rajya Vidyut Utpadan Nigam Ltd [100%]
M0606;Penganga Coal Mine;19,862222;79,139166;India;4,79;Coal India Ltd [100.0%]
M0607;Muraidi Phularitand Coal Mine;23,781738;86,227241;India;2;Coal India Ltd [100.0%]
M0611;Purnadih Coal Mine;23,7083;84,9861;India;0,6;Coal India Ltd [100.0%]
M0617;Rajmahal Coal Mine;25,038;87,3538;India;12,06;Coal India Ltd [100.0%]
M0618;Ramagundam I Coal Mine;18,666357;79,539274;India;3,69;The Singareni Collieries Co Ltd [100%]
M0619;Ramagundam II Coal Mine;18,6782;79,5406;India;2,22;The Singareni Collieries Co Ltd [100%]
M0620;Ramagundam III Coal Mine;18,6976;79,5352;India;8,16;The Singareni Collieries Co Ltd [100%]
M0622;Religara Coal Mine;23,8617;85,5569;India;0,5;Coal India Ltd [100.0%]
M0623;Rohini Coal Mine;23,685074;84,989074;India;0,31;Coal India Ltd [100.0%]
M0624;Rohini Karkatta Coal Mine;23,685074;84,989074;India;0,31;Coal India Ltd [100.0%]
M0626;Samleswari Coal Mine;21,805789;83,903847;India;7,73;Coal India Ltd [100.0%]
M0628;Sarisatolli Coal Mine;23,799677;87,045467;India;1,29;RPSG Group [100%]
M0629;Sasti OC Coal Mine;19,81311025;79,3183321;India;1,89;Coal India Ltd [100.0%]
M0630;Selected Dhori Group of Mines;23,775;85,5417;India;1,87;Coal India Ltd [100.0%]
M0631;Sendra Bansjora Coal Mine;23,793355;86,35049;India;0,6008;Coal India Ltd [100.0%]
M0632;Siarmal Coal Mine;22,043469;83,733619;India;6;Coal India Ltd [100.0%]
M0633;Singhori Coal Mine;21,276666;79,1275;India;1,2;Coal India Ltd [100.0%]
M0634;Sonepur Bazari Coal Mine;23,688231;87,223763;India;12,39;Coal India Ltd [100.0%]
M0636;Tadicherla Coal Mine;18,523763;79,749677;India;2,5;Telangana State Power Generation Corp Ltd [100%]
M0637;Tadkeshwar Lignite Mine;21,357159;73,06986;India;0,03;Gujarat Mineral Development Co Ltd [100%]
M0640;Talaipalli Coal Mine;22,17758;83,355201;India;7,22;NTPC Ltd [100%]
M0642;Tetariakhar Coal Mine;23,708769;84,98655;India;0,91;Coal India Ltd [100.0%]
M0644;Tubed Coal Mine;23,82119;84,57721;India;1,25;Damodar Valley Corp [100%]
M0645;Ukni Deep Coal Mine;20,020678;79,0678333;India;1,83;Coal India Ltd [100.0%]
M0647;Umrer Coal Mine;20,845833;79,271666;India;3,09;Coal India Ltd [100.0%]
M0649;West Bokaro Coal Mine;23,7927473;85,55423096;India;6,5;Tata Steel Ltd [100%]
M1361;Barsingsar Coal Mine;27,829491;73,220464;India;2,1;NLC India Ltd [100%]
M1365;Govindpur Coal Mine;23,803195;85,866553;India;0,03;Coal India Ltd [100.0%]
M1367;Topa Coal Mine;23,739119;85,486353;India;0,82;Coal India Ltd [100.0%]
M1637;Amaglmated Block IV-Kooridih-Govindpur Coal Mine;23,800453;86,276944;India;0,228;Coal India Ltd [100.0%]
M1640;Amgaon Coal Mine;21,884318;82,79865;India;0,74;Coal India Ltd [100.0%]
M1641;Amritnaga Coal Mine;23,650069;87,071513;India;0,052;Coal India Ltd [100.0%]
M1643;Ardhagram Coal Mine;23,587449;87,085853;India;0,4;OCL Iron & Steel [100%]
M1644;Badjna Coal Mine;23,800306;86,695665;India;0,106;Coal India Ltd [100.0%]
M1646;Bahula Coal Mine;23,654318;87,188096;India;0,076;Coal India Ltd [100.0%]
M1647;Balgi Coal Mine;22,353611;82,61666;India;0,008;Coal India Ltd [100.0%]
M1648;Balrampur Coal Mine;23,229703;83,010222;India;0,1;Coal India Ltd [100.0%]
M1649;Bangwar Coal Mine;23,151647;81,538768;India;0,65;Coal India Ltd [100.0%]
M1650;Bankola Coal Mine;23,659201;87,236639;India;0,237;Coal India Ltd [100.0%]
M1651;Bansdeopur Coal Mine;23,799105;86,325068;India;0,1402;Coal India Ltd [100.0%]
M1652;Bansra Coal Mine;23,642317;87,139259;India;0,153;Coal India Ltd [100.0%]
M1654;Barmuri Coal Mine;23,782796;86,718731;India;0,503;Coal India Ltd [100.0%]
M1655;Bartarai Coal Mine;23,136999;82,065634;India;0,16;Coal India Ltd [100.0%]
M1656;Basantimata Coal Mine;23,730779;86,756071;India;0,546;Coal India Ltd [100.0%]
M1659;Behraband Coal Mine;23,282233;82,093922;India;0,56;Coal India Ltd [100.0%]
M1661;Bellora-Naigaon Coal Mine;19,976764;79,088501;India;0,94;Coal India Ltd [100.0%]
M1662;Bhadra Coal Mine;23,189078;81,932398;India;0,13;Coal India Ltd [100.0%]
M1663;Bhatgaon Coal Mine;23,37063;82,99223;India;0,2;Coal India Ltd [100.0%]
M1664;Bhurkunda Coal Mine;23,657086;85,365226;India;0,41;Coal India Ltd [100.0%]
M1666;Bijuri Coal Mine;23,259109;82,122784;India;0,14;Coal India Ltd [100.0%]
M1669;Chasnala Coal Mine;23,658882;86,449764;India;0,37;Steel Authority of India Ltd [100%]
M1672;Churcha RO Coal Mine;23,335952;82,519611;India;1,07;Coal India Ltd [100.0%]
M1673;Damini Coal Mine;23,141744;81,470502;India;0,35;Coal India Ltd [100.0%]
M1674;Dhelwadih Coal Mine;22,461705;82,563349;India;0,15;Coal India Ltd [100.0%]
M1677;Godavarikhani Coal Mines;18,745558;79,508334;India;3,51;The Singareni Collieries Co Ltd [100%]
M1680;Haldibari Coal Mine;23,223784;82,149577;India;0,66;Coal India Ltd [100.0%]
M1684;Jamuna UG Coal Mine;23,16815;81,942397;India;0,18;Coal India Ltd [100.0%]
M1686;Jharia Coal Mine;23,708161;86,400024;India;0,68;Tata Steel Ltd [100%]
